Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Auclair, Pierre; Bacon, David; Baker, Tessa; Barreiro, Tiago; Bartolo, Nicola; Belgacem, Enis; Bellomo, Nicola; Ben-Dayan, Ido; Bertacca, Daniele; Besancon, Marc; ",Cosmology with the laser interferometer space antenna,Living reviews in relativity,26,1,5,2023,Springer International Publishing Cham
"Georgousi, Maria; Karnesis, Nikolaos; Korol, Valeriya; Pieroni, Mauro; Stergioulas, Nikolaos; ",Gravitational waves from double white dwarfs as probes of the milky way,Monthly Notices of the Royal Astronomical Society,519,2,2552-2566,2023,Oxford University Press
"Katz, Michael L; Danielski, Camilla; Karnesis, Nikolaos; Korol, Valeriya; Tamanini, Nicola; Cornish, Neil J; Littenberg, Tyson B; ",Bayesian characterization of circumbinary sub-stellar objects with LISA,Monthly Notices of the Royal Astronomical Society,517,1,697-711,2022,Oxford University Press
"Armano, Michele; Audley, H; Baird, J; Binetruy, Pierre; Born, Max; Bortoluzzi, Daniele; Castelli, Eleonora; Cavalleri, Antonella; Cesarini, Andrea; Chiavegato, Vittorio; ",Transient acceleration events in LISA Pathfinder data: Properties and possible physical origin,Physical Review D,106,6,062001,2022,American Physical Society
"Paczkowski, S; Giusteri, R; Hewitson, M; Karnesis, N; Fitzsimons, ED; Wanner, G; Heinzel, G; ",Postprocessing subtraction of tilt-to-length noise in LISA,Physical Review D,106,4,042005,2022,American Physical Society
"Giusteri, Roberta; Paczkowski, Sarah; Hewitson, Martin; Karnesis, Nikolaos; Fitzsimons, Ewan; ",Post-processing subtraction of tilt-to-length noise in LISA,44th COSPAR Scientific Assembly. Held 16-24 July,44,,1883,2022,
"Karnesis, Nikolaos; Stergioulas, Nikolaos; Pappas, Georgios; Anastopoulos, Charis; Antoniadis, John; Apostolatos, Theocharis; Basilakos, Spyros; Destounis, Kyriakos; Eleni, Areti; Lukes-Gerakopoulos, Georgios; ",The Laser Interferometer Space Antenna mission in Greece White Paper,arXiv preprint arXiv:2209.04358,,,,2022,
"Armano, Michele; Audley, Heather; Baird, Jonathon; Binétruy, Pierre; Born, Michael; Bortoluzzi, Daniele; Brandt, N; Castelli, Eleonora; Cavalleri, Antonella; Cesarini, Andrea; ",Sensor noise in LISA Pathfinder: An extensive in-flight review of the angular and longitudinal interferometric measurement system,Physical review D,106,8,082001,2022,American Physical Society
"Armano, Michele; Audley, Heather; Baird, Jonathon; Binétruy, Pierre; Born, Max; Bortoluzzi, Daniele; Castelli, Eleonora; Cavalleri, A; Cesarini, A; Cruise, AM; ",Charging of free-falling test masses in orbit due to cosmic rays: Results from LISA Pathfinder,Physical review D,107,6,062007,2023,American Physical Society
"Speri, Lorenzo; Karnesis, Nikolaos; Renzini, Arianna I; Gair, Jonathan R; ",A roadmap of gravitational wave data analysis,Nature Astronomy,6,12,1356-1363,2022,Nature Publishing Group UK London
